City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,cortez,37.3489,-108.5859,-4.06,72,0,3.09,US,1675430218
348,yuncheng,35.0231,110.9928,4.78,30,91,1.48,CN,1675430612
349,bandarbeyla,9.4942,50.8122,25.32,62,6,7.68,SO,1675430612
350,half moon bay,37.4636,-122.4286,13.05,86,100,6.17,US,1675430613
351,delhi,28.6667,77.2167,20.05,52,0,1.54,IN,1675430342
352,uruacu,-14.5247,-49.1408,26.88,72,100,1.71,BR,1675430600
353,esperance,-33.8667,121.9,17.04,77,31,6.52,AU,1675430613
354,yagodnoye,62.55,149.6667,-31.7,100,99,1.53,RU,1675430614
355,kloulklubed,7.0419,134.2556,26.28,70,100,8.47,PW,1675430615
356,belyy yar,53.6039,91.3903,-21.06,92,75,1.0,RU,1675430615
357,touros,-5.1989,-35.4608,30.43,54,84,6.1,BR,1675430615
358,hasaki,35.7333,140.8333,4.56,61,100,5.62,JP,1675430616
359,dunedin,-45.8742,170.5036,16.86,91,7,0.53,NZ,1675430577
360,gorin,51.1983,136.6669,-30.43,100,33,1.27,RU,1675430616
